"","ORG_CODE","SEX","AGE","POP","abs_pop"
"672","P81140","MALE","95+",-5,5
"673","P81155","MALE","0",-35,35
"674","P81155","MALE","1",-29,29
"675","P81155","MALE","10",-25,25
"676","P81155","MALE","11",-21,21
"677","P81155","MALE","12",-30,30
"678","P81155","MALE","13",-35,35
"679","P81155","MALE","14",-26,26
"680","P81155","MALE","15",-24,24
"681","P81155","MALE","16",-33,33
"682","P81155","MALE","17",-28,28
"683","P81155","MALE","18",-24,24
"684","P81155","MALE","19",-28,28
"685","P81155","MALE","2",-26,26
"686","P81155","MALE","20",-25,25
"687","P81155","MALE","21",-24,24
"688","P81155","MALE","22",-22,22
"689","P81155","MALE","23",-25,25
"690","P81155","MALE","24",-22,22
"691","P81155","MALE","25",-27,27
"692","P81155","MALE","26",-37,37
"693","P81155","MALE","27",-29,29
"694","P81155","MALE","28",-31,31
"695","P81155","MALE","29",-36,36
"696","P81155","MALE","3",-27,27
"697","P81155","MALE","30",-33,33
"698","P81155","MALE","31",-29,29
"699","P81155","MALE","32",-39,39
"700","P81155","MALE","33",-32,32
"701","P81155","MALE","34",-31,31
"702","P81155","MALE","35",-28,28
"703","P81155","MALE","36",-35,35
"704","P81155","MALE","37",-34,34
"705","P81155","MALE","38",-30,30
"706","P81155","MALE","39",-27,27
"707","P81155","MALE","4",-38,38
"708","P81155","MALE","40",-24,24
"709","P81155","MALE","41",-25,25
"710","P81155","MALE","42",-31,31
"711","P81155","MALE","43",-24,24
"712","P81155","MALE","44",-31,31
"713","P81155","MALE","45",-39,39
"714","P81155","MALE","46",-44,44
"715","P81155","MALE","47",-33,33
"716","P81155","MALE","48",-38,38
"717","P81155","MALE","49",-43,43
"718","P81155","MALE","5",-40,40
"719","P81155","MALE","50",-37,37
"720","P81155","MALE","51",-36,36
"721","P81155","MALE","52",-43,43
"722","P81155","MALE","53",-34,34
"723","P81155","MALE","54",-38,38
"724","P81155","MALE","55",-41,41
"725","P81155","MALE","56",-40,40
"726","P81155","MALE","57",-41,41
"727","P81155","MALE","58",-44,44
"728","P81155","MALE","59",-31,31
"729","P81155","MALE","6",-28,28
"730","P81155","MALE","60",-37,37
"731","P81155","MALE","61",-49,49
"732","P81155","MALE","62",-33,33
"733","P81155","MALE","63",-39,39
"734","P81155","MALE","64",-31,31
"735","P81155","MALE","65",-29,29
"736","P81155","MALE","66",-30,30
"737","P81155","MALE","67",-27,27
"738","P81155","MALE","68",-20,20
"739","P81155","MALE","69",-20,20
"740","P81155","MALE","7",-26,26
"741","P81155","MALE","70",-26,26
"742","P81155","MALE","71",-27,27
"743","P81155","MALE","72",-28,28
"744","P81155","MALE","73",-25,25
"745","P81155","MALE","74",-18,18
"746","P81155","MALE","75",-20,20
"747","P81155","MALE","76",-15,15
"748","P81155","MALE","77",-10,10
"749","P81155","MALE","78",-11,11
"750","P81155","MALE","79",-16,16
"751","P81155","MALE","8",-42,42
"752","P81155","MALE","80",-5,5
"753","P81155","MALE","81",-10,10
"754","P81155","MALE","82",-13,13
"755","P81155","MALE","83",-12,12
"756","P81155","MALE","84",-9,9
"757","P81155","MALE","85",-9,9
"758","P81155","MALE","86",-4,4
"759","P81155","MALE","87",-9,9
"760","P81155","MALE","88",-5,5
"761","P81155","MALE","89",-3,3
"762","P81155","MALE","9",-21,21
"763","P81155","MALE","90",-4,4
"764","P81155","MALE","91",-4,4
"765","P81155","MALE","92",-2,2
"766","P81155","MALE","93",-1,1
"767","P81155","MALE","94",-4,4
"768","P81155","MALE","95+",-3,3
